track,subset,low_80_200_db,lowmid_200_800_db,mid_0p8_3k_db,high_3_8k_db,tilt_db_per_decade,rms_delta_db,lag_ms
00_Rock1-130-A_comp,comp,5.595,-2.508,0.872,5.401,6.978,7.524,-1.474
00_Rock1-130-A_solo,solo,-0.224,-2.168,0.781,8.114,10.955,10.534,6.236
00_Rock1-90-C#_comp,comp,3.195,-3.747,0.945,6.682,9.252,8.88,5.556
00_Rock1-90-C#_solo,solo,3.716,-5.215,1.14,6.093,8.792,8.078,5.556
00_Rock2-142-D_comp,comp,3.287,-4.941,0.475,6.593,10.079,8.59,10.771
00_Rock2-142-D_solo,solo,7.723,-3.838,1.043,6.886,8.194,8.064,8.05
00_Rock2-85-F_comp,comp,3.493,-4.414,0.928,6.317,9.148,8.471,5.669
00_Rock2-85-F_solo,solo,9.57,-3.948,0.988,5.633,6.064,7.619,16.1
00_Rock3-117-Bb_comp,comp,2.963,-4.413,1.099,7.931,10.6,9.336,6.236
00_Rock3-117-Bb_solo,solo,10.211,-4.353,1.176,6.783,7.673,8.222,7.823
00_Rock3-148-C_comp,comp,2.315,-3.931,1.179,7.584,10.127,9.356,-1.134
00_Rock3-148-C_solo,solo,13.175,-4.09,0.871,7.567,8.589,9.03,10.204
00_SS1-100-C#_comp,comp,0.627,-5.114,1.339,6.204,8.616,7.858,4.989
00_SS1-100-C#_solo,solo,2.768,-3.479,1.141,5.521,7.003,6.901,6.349
00_SS1-68-E_comp,comp,-0.355,-4.542,1.085,6.507,8.803,8.088,23.469
00_SS1-68-E_solo,solo,2.417,-5.075,1.134,5.876,8.574,7.481,5.896
00_SS2-107-Ab_comp,comp,-0.533,-6.412,1.54,7.395,10.862,8.334,25.057
00_SS2-107-Ab_solo,solo,4.176,-3.87,1.225,6.542,7.899,7.821,5.329
00_SS2-88-F_comp,comp,0.068,-5.286,1.227,6.754,9.231,8.395,-0.454
00_SS2-88-F_solo,solo,0.884,-4.546,1.191,6.394,8.522,7.823,5.442
00_SS3-84-Bb_comp,comp,0.739,-5.473,1.531,7.451,9.815,8.32,6.122
00_SS3-84-Bb_solo,solo,3.739,-4.051,1.215,5.304,6.733,7.707,30.499
00_SS3-98-C_comp,comp,-2.289,-4.597,1.521,6.447,8.565,7.358,5.556
00_SS3-98-C_solo,solo,2.966,-4.627,0.951,5.73,7.803,7.117,-1.474
01_BN1-129-Eb_comp,comp,5.218,-2.417,0.476,5.124,5.46,6.831,6.463
01_BN1-129-Eb_solo,solo,9.563,-1.027,1.144,7.891,7.025,8.596,32.426
01_BN1-147-Gb_comp,comp,4.63,-1.718,1.229,7.535,7.518,9.129,5.442
01_BN1-147-Gb_solo,solo,14.368,-2.119,2.057,7.665,6.736,10.26,8.617
01_BN2-131-B_comp,comp,5.274,-2.947,0.839,6.865,7.58,8.121,15.76
01_BN2-131-B_solo,solo,10.155,-4.97,1.103,6.3,6.958,7.818,9.864
01_BN2-166-Ab_comp,comp,4.303,-3.811,0.337,6.79,8.706,7.974,5.556
01_BN2-166-Ab_solo,solo,11.051,-3.334,1.353,7.106,6.912,8.215,7.596
01_BN3-119-G_comp,comp,10.836,-2.819,0.499,7.225,7.41,8.691,10.091
01_BN3-119-G_solo,solo,9.675,-4.233,0.718,5.864,7.022,7.727,-3.061
01_BN3-154-E_comp,comp,2.636,-3.182,0.936,7.153,8.626,8.48,6.122
01_BN3-154-E_solo,solo,11.127,-4.195,1.108,6.351,6.724,7.827,5.896
01_Funk1-114-Ab_comp,comp,11.365,-1.961,0.926,7.399,6.721,8.729,15.306
01_Funk1-114-Ab_solo,solo,9.663,-2.993,1.362,6.932,6.895,7.976,7.37
01_Funk1-97-C_comp,comp,11.559,-1.555,0.632,7.755,6.99,8.511,-5.329
01_Funk1-97-C_solo,solo,9.373,-3.595,1.316,7.158,8.026,9.062,6.009
01_Funk2-108-Eb_comp,comp,8.98,-1.732,0.499,7.818,7.699,8.67,-11.565
01_Funk2-108-Eb_solo,solo,11.179,-2.561,1.518,6.658,6.178,8.38,8.73
01_Funk2-119-G_comp,comp,7.92,-2.154,0.236,6.801,7.14,7.787,5.329
01_Funk2-119-G_solo,solo,12.834,-2.661,1.869,7.451,6.837,8.876,6.009
01_Funk3-112-C#_comp,comp,10.496,-1.638,1.183,7.73,6.817,8.653,30.726
01_Funk3-112-C#_solo,solo,9.228,-3.117,1.347,7.484,7.666,8.857,10.204
01_Funk3-98-A_comp,comp,11.302,-1.787,0.891,8.167,7.626,8.763,15.079
01_Funk3-98-A_solo,solo,6.468,-3.528,0.557,4.717,5.294,6.751,-0.567
01_Jazz1-130-D_comp,comp,6.458,-4.901,1.595,8.578,9.762,9.367,-3.175
01_Jazz1-130-D_solo,solo,10.462,-4.53,1.28,7.202,7.591,8.306,3.515
01_Jazz1-200-B_comp,comp,1.754,-5.07,0.732,7.089,10.262,8.759,6.349
01_Jazz1-200-B_solo,solo,10.229,-4.208,1.534,7.382,7.496,8.572,9.977
01_Jazz2-110-Bb_comp,comp,3.846,-2.467,0.904,6.685,7.53,7.846,6.122
01_Jazz2-110-Bb_solo,solo,5.443,-3.727,1.677,6.01,6.647,7.362,36.054
01_Jazz2-187-F#_comp,comp,6.103,-2.347,0.705,7.042,7.53,8.081,5.556
01_Jazz2-187-F#_solo,solo,6.061,-5.403,0.817,5.556,6.971,7.497,-0.794
01_Jazz3-137-Eb_comp,comp,5.535,-1.285,0.831,6.521,6.338,7.917,5.896
01_Jazz3-137-Eb_solo,solo,11.558,-3.177,1.511,7.061,6.259,8.736,-2.268
01_Jazz3-150-C_comp,comp,11.963,-1.381,0.375,7.205,6.423,8.833,10.091
01_Jazz3-150-C_solo,solo,9.135,-4.114,0.658,5.338,5.775,7.343,-3.175
01_Rock1-130-A_comp,comp,3.122,-3.739,1.058,6.147,7.663,7.359,5.556
01_Rock1-130-A_solo,solo,7.671,-2.349,0.651,5.605,5.502,7.118,-2.948
01_Rock1-90-C#_comp,comp,3.493,-2.835,0.819,7.018,8.199,8.159,5.442
01_Rock1-90-C#_solo,solo,9.552,-2.575,1.616,7.442,6.429,8.505,10.204
01_Rock2-142-D_comp,comp,1.257,-3.185,0.809,6.66,8.146,7.904,5.442
01_Rock2-142-D_solo,solo,9.508,-2.636,1.324,6.918,5.976,7.84,0.0
01_Rock2-85-F_comp,comp,0.096,-3.391,0.426,6.983,9.273,8.504,5.782
01_Rock2-85-F_solo,solo,10.141,-2.526,1.426,7.557,6.847,8.546,-18.821
01_Rock3-117-Bb_comp,comp,2.848,-3.119,1.191,7.217,8.333,8.428,5.896
01_Rock3-117-Bb_solo,solo,9.046,-3.61,0.907,6.638,7.005,8.022,6.236
01_Rock3-148-C_comp,comp,-0.019,-3.197,0.836,8.516,11.069,9.97,5.556
01_Rock3-148-C_solo,solo,7.813,-2.585,0.669,6.393,6.463,7.74,32.426
01_SS1-100-C#_comp,comp,5.968,-2.797,0.59,6.074,6.596,7.754,21.655
01_SS1-100-C#_solo,solo,9.818,-2.802,0.721,6.204,5.908,7.798,6.236
01_SS1-68-E_comp,comp,-0.337,-3.941,1.395,7.512,9.352,8.479,42.063
01_SS1-68-E_solo,solo,5.732,-3.138,-0.028,6.197,7.082,7.318,-0.567
01_SS2-107-Ab_comp,comp,4.803,-1.964,0.487,7.171,7.829,8.286,5.896
01_SS2-107-Ab_solo,solo,9.838,-1.384,1.017,7.198,6.393,7.901,6.236
01_SS2-88-F_comp,comp,0.173,-2.702,0.406,7.115,9.182,8.223,5.896
01_SS2-88-F_solo,solo,8.37,-2.668,0.804,6.424,6.027,7.357,10.091
01_SS3-84-Bb_comp,comp,-0.735,-4.416,0.77,6.484,8.593,8.008,5.556
01_SS3-84-Bb_solo,solo,5.997,-2.949,0.442,6.763,7.312,7.63,6.236
01_SS3-98-C_comp,comp,-0.898,-3.516,1.005,7.532,9.653,8.576,13.832
01_SS3-98-C_solo,solo,10.535,-2.223,0.903,6.853,6.441,7.916,-3.061
02_BN1-129-Eb_comp,comp,4.48,-4.632,2.475,7.02,8.753,8.181,5.556
02_BN1-129-Eb_solo,solo,3.38,-3.855,1.003,7.779,10.036,8.801,5.896
02_BN1-147-Gb_comp,comp,4.991,-4.472,1.055,6.724,8.85,7.977,5.442
02_BN1-147-Gb_solo,solo,8.298,-3.044,0.537,9.023,10.79,9.99,6.122
02_BN2-131-B_comp,comp,5.993,-3.058,1.484,6.117,6.838,7.687,5.669
02_BN2-131-B_solo,solo,7.907,-4.632,1.641,6.642,7.513,7.819,-20.975
02_BN2-166-Ab_comp,comp,6.345,-4.317,1.382,7.606,9.506,8.484,5.442
02_BN2-166-Ab_solo,solo,8.591,-2.993,1.301,7.835,8.013,8.569,10.204
02_BN3-119-G_comp,comp,6.219,-2.872,0.957,7.041,8.191,8.27,-1.701
02_BN3-119-G_solo,solo,9.062,-4.796,1.424,5.97,7.084,7.66,-3.741
02_BN3-154-E_comp,comp,5.86,-4.644,0.831,6.565,8.87,7.827,5.329
02_BN3-154-E_solo,solo,11.358,-2.667,0.635,7.141,7.435,8.836,21.769
02_Funk1-114-Ab_comp,comp,5.692,-3.702,0.303,6.927,9.099,8.718,-7.596
02_Funk1-114-Ab_solo,solo,5.771,-3.362,0.928,7.422,8.649,8.27,0.113
02_Funk1-97-C_comp,comp,3.603,-3.389,1.009,6.685,8.642,9.25,5.442
02_Funk1-97-C_solo,solo,4.427,-2.376,1.112,7.814,8.749,8.624,6.122
02_Funk2-108-Eb_comp,comp,0.924,-4.264,0.601,5.184,7.749,6.128,5.442
02_Funk2-108-Eb_solo,solo,4.039,-3.341,1.013,7.615,8.686,8.16,6.689
02_Funk2-119-G_comp,comp,2.343,-4.932,0.63,5.8,8.249,7.073,5.442
02_Funk2-119-G_solo,solo,5.883,-2.359,1.101,8.14,9.092,8.741,10.544
02_Funk3-112-C#_comp,comp,4.561,-1.745,0.231,7.66,9.224,10.078,5.102
02_Funk3-112-C#_solo,solo,-2.868,-6.647,0.981,8.948,13.06,9.278,5.896
02_Funk3-98-A_comp,comp,1.772,-3.904,1.199,7.938,10.42,8.88,5.556
02_Funk3-98-A_solo,solo,4.169,-3.987,1.399,6.655,7.871,7.908,0.68
02_Jazz1-130-D_comp,comp,7.016,-2.468,1.325,6.62,6.923,8.467,4.649
02_Jazz1-130-D_solo,solo,8.517,-3.498,0.63,6.239,7.026,8.57,12.698
02_Jazz1-200-B_comp,comp,3.594,-5.297,0.807,6.36,9.254,7.98,5.556
02_Jazz1-200-B_solo,solo,8.911,-5.236,0.957,6.794,8.041,8.324,-4.422
02_Jazz2-110-Bb_comp,comp,4.302,-5.047,1.262,9.783,12.445,11.059,5.102
02_Jazz2-110-Bb_solo,solo,6.238,-4.678,1.069,9.652,12.171,10.279,6.236
02_Jazz2-187-F#_comp,comp,4.119,-3.853,1.285,10.066,12.25,11.073,5.329
02_Jazz2-187-F#_solo,solo,5.698,-5.758,1.158,9.163,11.515,9.891,-3.741
02_Jazz3-137-Eb_comp,comp,2.775,-5.92,1.733,10.749,14.103,11.697,5.556
02_Jazz3-137-Eb_solo,solo,5.786,-4.489,1.212,7.469,8.863,8.753,-4.422
02_Jazz3-150-C_comp,comp,2.334,-4.807,0.865,7.416,10.334,8.257,5.329
02_Jazz3-150-C_solo,solo,4.222,-4.817,1.891,7.245,9.129,8.697,6.009
02_Rock1-130-A_comp,comp,9.586,-2.485,0.911,7.053,7.427,9.091,-1.701
02_Rock1-130-A_solo,solo,7.051,-1.528,0.867,8.289,8.426,9.125,5.669
02_Rock1-90-C#_comp,comp,11.398,-3.271,0.798,7.785,8.16,9.01,5.556
02_Rock1-90-C#_solo,solo,4.033,-2.749,0.288,7.163,8.872,8.553,5.896
02_Rock2-142-D_comp,comp,6.199,-3.421,0.692,6.392,7.696,8.282,5.102
02_Rock2-142-D_solo,solo,2.021,-3.107,0.773,7.171,9.881,8.677,5.669
02_Rock2-85-F_comp,comp,7.79,-1.867,0.873,7.722,7.963,8.778,5.215
02_Rock2-85-F_solo,solo,3.109,-2.781,1.111,7.239,8.789,8.201,-46.032
02_Rock3-117-Bb_comp,comp,7.993,-3.252,1.218,8.05,8.659,8.931,5.556
02_Rock3-117-Bb_solo,solo,4.571,-1.725,0.52,7.435,8.212,9.107,-0.794
02_Rock3-148-C_comp,comp,3.913,-2.602,0.867,8.874,11.002,10.38,5.329
02_Rock3-148-C_solo,solo,6.634,-2.742,0.966,7.318,8.488,8.686,-0.567
02_SS1-100-C#_comp,comp,-0.484,-4.775,0.984,6.751,9.961,8.028,5.102
02_SS1-100-C#_solo,solo,6.411,-2.068,0.177,6.02,7.124,7.758,10.204
02_SS1-68-E_comp,comp,0.855,-5.113,1.349,8.28,10.788,8.7,5.556
02_SS1-68-E_solo,solo,5.673,-2.73,0.644,5.891,6.778,8.393,5.782
02_SS2-107-Ab_comp,comp,3.544,-2.696,0.862,7.597,9.593,9.308,5.442
02_SS2-107-Ab_solo,solo,-0.314,-2.09,0.968,8.145,10.062,8.71,5.669
02_SS2-88-F_comp,comp,1.34,-3.019,1.351,9.564,11.782,10.419,5.442
02_SS2-88-F_solo,solo,2.699,-3.767,1.622,9.435,12.114,10.043,5.782
02_SS3-84-Bb_comp,comp,7.173,-2.873,0.646,6.849,7.682,8.068,5.669
02_SS3-84-Bb_solo,solo,2.043,-2.583,0.991,8.028,9.39,8.846,6.236
02_SS3-98-C_comp,comp,5.901,-2.142,1.002,6.594,7.534,8.461,5.102
02_SS3-98-C_solo,solo,5.285,-2.431,0.651,6.722,7.766,8.45,5.782
03_BN1-129-Eb_comp,comp,0.1,-4.324,1.989,7.671,9.52,8.795,6.349
03_BN1-129-Eb_solo,solo,6.9,-4.551,2.505,6.734,7.338,8.443,-23.016
03_BN1-147-Gb_comp,comp,-3.548,-4.052,2.148,9.085,11.85,10.002,-16.667
03_BN1-147-Gb_solo,solo,-0.137,-4.965,0.917,6.1,8.909,7.737,5.442
03_BN2-131-B_comp,comp,-0.924,-4.207,2.759,9.506,11.416,9.959,5.896
03_BN2-131-B_solo,solo,7.17,-5.199,2.322,6.026,7.543,7.835,2.268
03_BN2-166-Ab_comp,comp,-0.893,-4.967,2.433,7.908,10.018,8.641,6.009
03_BN2-166-Ab_solo,solo,1.739,-5.259,2.563,6.439,8.718,7.93,10.431
03_BN3-119-G_comp,comp,-1.54,-3.595,2.287,8.999,11.112,9.637,0.0
03_BN3-119-G_solo,solo,7.317,-5.643,1.369,5.185,7.013,7.525,8.05
03_BN3-154-E_comp,comp,-0.953,-5.354,2.547,8.635,11.309,9.587,6.576
03_BN3-154-E_solo,solo,5.394,-5.774,1.898,5.474,7.737,7.599,10.431
03_Funk1-114-Ab_comp,comp,4.95,-3.844,0.619,7.057,8.881,7.967,21.542
03_Funk1-114-Ab_solo,solo,2.628,-4.908,1.533,5.97,8.106,7.27,-0.113
03_Funk1-97-C_comp,comp,4.948,-2.561,0.479,7.368,8.826,8.441,5.669
03_Funk1-97-C_solo,solo,3.638,-5.195,1.785,5.926,7.603,7.777,10.431
03_Funk2-108-Eb_comp,comp,5.909,-3.054,0.958,7.025,8.195,8.139,-32.426
03_Funk2-108-Eb_solo,solo,5.019,-4.967,2.054,6.095,8.068,7.805,5.669
03_Funk2-119-G_comp,comp,6.624,-2.97,0.815,6.921,8.076,7.969,19.955
03_Funk2-119-G_solo,solo,8.376,-4.614,1.461,6.161,7.067,7.599,7.937
03_Funk3-112-C#_comp,comp,3.95,-3.66,1.133,7.072,9.226,8.022,11.338
03_Funk3-112-C#_solo,solo,3.982,-5.155,2.212,5.834,7.833,8.158,2.721
03_Funk3-98-A_comp,comp,6.994,-4.014,1.55,8.084,9.408,8.65,10.658
03_Funk3-98-A_solo,solo,7.268,-4.174,2.37,6.803,7.698,8.169,10.317
03_Jazz1-130-D_comp,comp,4.185,-1.643,1.538,9.115,10.051,9.875,10.884
03_Jazz1-130-D_solo,solo,7.307,-4.978,1.6,5.758,7.164,7.518,8.163
03_Jazz1-200-B_comp,comp,5.727,-2.916,1.455,8.064,8.764,8.251,19.955
03_Jazz1-200-B_solo,solo,5.651,-5.56,0.845,4.485,7.251,6.989,10.658
03_Jazz2-110-Bb_comp,comp,-0.742,-4.155,2.221,8.773,10.953,9.43,6.576
03_Jazz2-110-Bb_solo,solo,-0.615,-5.631,1.722,6.237,8.855,7.744,10.884
03_Jazz2-187-F#_comp,comp,-0.702,-4.179,1.94,8.325,10.447,8.816,6.009
03_Jazz2-187-F#_solo,solo,7.265,-4.041,1.434,5.206,6.523,7.028,10.658
03_Jazz3-137-Eb_comp,comp,3.752,-2.218,1.994,8.79,9.588,9.092,15.533
03_Jazz3-137-Eb_solo,solo,0.687,-3.776,1.831,5.471,7.197,7.458,5.669
03_Jazz3-150-C_comp,comp,5.037,-2.639,1.653,8.217,9.276,8.983,10.658
03_Jazz3-150-C_solo,solo,7.395,-3.636,1.88,6.414,7.243,8.122,5.896
03_Rock1-130-A_comp,comp,2.938,-3.302,0.489,5.568,7.29,7.5,5.782
03_Rock1-130-A_solo,solo,5.292,-3.792,0.413,7.215,9.446,8.606,8.277
03_Rock1-90-C#_comp,comp,1.533,-2.748,0.775,8.149,10.475,9.141,15.76
03_Rock1-90-C#_solo,solo,1.648,-4.744,-0.108,5.951,9.01,7.594,-1.701
03_Rock2-142-D_comp,comp,2.613,-2.015,0.943,7.624,8.915,8.972,6.236
03_Rock2-142-D_solo,solo,5.797,-3.192,0.748,7.126,8.547,8.133,10.884
03_Rock2-85-F_comp,comp,1.187,-2.734,1.167,7.905,9.881,9.244,5.669
03_Rock2-85-F_solo,solo,5.581,-2.715,0.935,7.201,7.964,8.036,5.669
03_Rock3-117-Bb_comp,comp,3.413,-2.752,0.559,6.392,7.723,7.751,5.556
03_Rock3-117-Bb_solo,solo,6.59,-3.627,1.589,6.61,7.547,8.08,-2.834
03_Rock3-148-C_comp,comp,1.875,-2.853,1.528,7.522,9.05,8.513,-1.02
03_Rock3-148-C_solo,solo,5.915,-2.328,1.029,7.7,8.942,8.715,-24.263
03_SS1-100-C#_comp,comp,2.069,-2.649,1.015,7.695,9.607,8.826,-7.483
03_SS1-100-C#_solo,solo,2.878,-3.98,2.724,7.121,8.653,8.461,4.195
03_SS1-68-E_comp,comp,-0.68,-3.672,1.708,8.509,11.027,9.193,5.896
03_SS1-68-E_solo,solo,6.417,-4.106,1.31,6.993,8.681,7.688,10.431
03_SS2-107-Ab_comp,comp,2.928,-2.935,1.25,7.123,8.594,8.294,-7.143
03_SS2-107-Ab_solo,solo,4.004,-3.484,1.483,6.386,7.756,7.967,22.109
03_SS2-88-F_comp,comp,-0.611,-3.578,1.141,7.681,10.333,9.149,-40.023
03_SS2-88-F_solo,solo,6.965,-3.534,1.794,7.336,7.892,8.415,8.05
03_SS3-84-Bb_comp,comp,2.867,-2.702,1.829,7.885,8.845,9.0,5.556
03_SS3-84-Bb_solo,solo,5.066,-3.37,1.897,6.629,7.343,7.953,17.46
03_SS3-98-C_comp,comp,0.528,-3.87,0.89,6.646,8.981,8.235,-1.247
03_SS3-98-C_solo,solo,4.466,-2.24,2.25,7.623,8.214,8.91,6.009
04_BN1-129-Eb_comp,comp,0.274,-6.377,1.593,8.345,11.007,10.048,31.066
04_BN1-129-Eb_solo,solo,5.991,-3.311,0.909,4.74,5.426,7.147,10.771
04_BN1-147-Gb_comp,comp,0.342,-2.193,2.53,9.656,10.49,10.483,-17.007
04_BN1-147-Gb_solo,solo,8.929,-2.387,1.795,4.827,4.077,7.239,7.937
04_BN2-131-B_comp,comp,0.275,-4.737,2.328,8.788,10.998,10.047,0.0
04_BN2-131-B_solo,solo,8.59,-4.154,1.446,8.133,8.88,9.84,10.431
04_BN2-166-Ab_comp,comp,0.012,-4.831,2.575,9.475,11.152,10.397,0.0
04_BN2-166-Ab_solo,solo,5.867,-3.891,0.826,5.562,6.229,7.745,5.669
04_BN3-119-G_comp,comp,-1.939,-7.166,3.458,9.767,12.61,11.122,0.227
04_BN3-119-G_solo,solo,5.17,-2.804,1.436,6.352,7.385,8.844,6.349
04_BN3-154-E_comp,comp,-0.792,-7.276,2.709,8.792,12.167,9.642,6.689
04_BN3-154-E_solo,solo,9.5,-4.613,1.043,5.151,5.699,7.683,10.091
04_Funk1-114-Ab_comp,comp,2.077,-3.819,1.727,7.981,9.55,9.877,15.873
04_Funk1-114-Ab_solo,solo,2.839,-2.632,0.906,6.707,7.416,7.888,-3.741
04_Funk1-97-C_comp,comp,1.045,-1.765,0.217,5.499,7.353,7.874,6.349
04_Funk1-97-C_solo,solo,7.274,-2.805,1.195,7.161,7.332,8.563,6.803
04_Funk2-108-Eb_comp,comp,5.687,-4.215,0.847,6.857,8.266,8.739,21.995
04_Funk2-108-Eb_solo,solo,5.297,-3.375,1.391,6.699,7.328,8.614,10.771
04_Funk2-119-G_comp,comp,6.138,-3.351,1.409,6.921,7.577,8.792,10.658
04_Funk2-119-G_solo,solo,8.36,-2.997,1.252,6.523,6.511,8.059,16.327
04_Funk3-112-C#_comp,comp,3.801,-2.437,1.302,8.872,9.859,9.917,5.896
04_Funk3-112-C#_solo,solo,8.224,-2.155,1.181,8.235,8.283,9.923,22.109
04_Funk3-98-A_comp,comp,6.254,-1.791,1.776,9.084,8.876,10.258,10.544
04_Funk3-98-A_solo,solo,10.746,-2.429,1.237,6.442,5.602,8.579,10.771
04_Jazz1-130-D_comp,comp,-1.391,-7.712,2.636,11.02,15.23,12.263,12.018
04_Jazz1-130-D_solo,solo,5.478,-4.872,1.216,5.897,7.352,7.763,-3.061
04_Jazz1-200-B_comp,comp,-2.812,-7.932,3.086,8.138,10.749,9.947,6.689
04_Jazz1-200-B_solo,solo,7.376,-3.258,1.135,7.705,7.854,9.006,10.317
04_Jazz2-110-Bb_comp,comp,-3.219,-9.347,2.638,7.77,11.61,9.275,10.884
04_Jazz2-110-Bb_solo,solo,5.737,-5.276,1.821,6.351,7.36,7.533,-2.834
04_Jazz2-187-F#_comp,comp,1.076,-6.029,2.677,8.954,11.322,10.103,6.463
04_Jazz2-187-F#_solo,solo,10.365,-4.266,0.938,5.693,6.521,7.551,8.05
04_Jazz3-137-Eb_comp,comp,-4.157,-8.953,1.658,8.731,13.56,10.376,6.803
04_Jazz3-137-Eb_solo,solo,5.772,-5.697,0.679,5.524,7.247,7.506,10.544
04_Jazz3-150-C_comp,comp,-2.132,-8.08,2.774,8.907,12.386,10.015,6.349
04_Jazz3-150-C_solo,solo,8.681,-4.165,0.87,6.519,7.585,8.227,6.803
04_Rock1-130-A_comp,comp,2.693,-1.926,0.343,7.477,9.71,9.178,6.009
04_Rock1-130-A_solo,solo,10.404,-3.727,0.56,6.416,6.801,8.471,10.544
04_Rock1-90-C#_comp,comp,3.93,-2.815,1.298,6.921,8.081,8.373,6.236
04_Rock1-90-C#_solo,solo,8.868,-2.955,1.186,6.303,5.802,8.228,7.823
04_Rock2-142-D_comp,comp,3.448,-2.66,0.417,6.553,7.777,7.717,10.544
04_Rock2-142-D_solo,solo,11.984,-2.534,1.39,7.069,6.184,8.508,7.823
04_Rock2-85-F_comp,comp,0.483,-1.636,0.945,7.162,7.903,8.29,6.236
04_Rock2-85-F_solo,solo,8.234,-3.022,1.313,6.582,6.747,8.014,12.358
04_Rock3-117-Bb_comp,comp,3.352,-2.867,1.108,7.159,8.313,8.407,6.236
04_Rock3-117-Bb_solo,solo,9.755,-2.967,1.024,7.443,7.26,8.593,10.658
04_Rock3-148-C_comp,comp,1.165,-3.094,0.528,7.787,10.177,8.865,5.896
04_Rock3-148-C_solo,solo,11.959,-3.389,0.731,6.822,6.826,8.348,10.544
04_SS1-100-C#_comp,comp,0.506,-5.23,1.964,11.314,14.538,11.029,21.769
04_SS1-100-C#_solo,solo,8.908,-0.748,1.113,7.799,6.162,9.227,-0.454
04_SS1-68-E_comp,comp,0.332,-4.39,1.336,7.672,10.128,9.058,17.914
04_SS1-68-E_solo,solo,12.181,-2.858,1.277,6.987,6.328,8.18,7.937
04_SS2-107-Ab_comp,comp,0.149,-4.893,1.762,9.261,11.299,9.455,5.215
04_SS2-107-Ab_solo,solo,6.822,-1.744,1.049,4.549,4.21,6.615,12.132
04_SS2-88-F_comp,comp,0.155,-1.909,1.399,7.78,8.825,8.846,5.442
